reviews,cleaned_reviews
"NOW A DAYS DARAZ IS A NAME OF CHEATING, VERY POOR QUALITY, LESS QUANTITY, VOUCHERS ARE EVER FRAUD, EXTREMELY LATE DELIVERY, NOT RECOMMENDED ",day data name creating poor quality less quantity vouchers every fraud extremely late delivery recommended
excellent experience... used this option first time and it is simply great... no more visit to Sunday bazars.😀,excellent experience used option first time simply great visit sunny bazaars
Each & every item is under weight atleast 150 to 200 grams. This is really pathetic. Quality is satisfactory but weight is not accurate,every item weight atleast 150 200 grams really pathetic quality satisfactory weight accurate
All veggies and fruits were fresh and of good quality. this time cauliflower was perfect too. thnx dfresh. ,veggies fruits fresh good quality time cauliflower perfect fresh
Actually ordered it from the office and without lifting a finger my family got the veges and they were fresh and looked freak. couldn't take picture but highly recommended.,actually ordered office without lifting finger family got veggies fresh looked freak take pictures highly recommended
I was worried the Cauliflower will not be good after reading the reviews but DFresh team has proved those bad reviews wrong. I have received fresh Phool Gobhi ,I worried cauliflower good reading reviews refresh team proved bad reviews wrong received fresh phool growth
"Unprofessional staff, delivery guys did not give a receipt and there was a quantity shortage. Daraz customer service is the worst I have ever witnessed. ",unprofessional staff delivery guys give receipt quantity shortage data customer service worst I ever witnessed
"Quantity shortage in my order. Daraz is not doing anything about my complaint filed over 24h ago. I paid in advance, no receipt given with the order either. Horrible customer service.",quantity shortage order daraz anything complaint filed 24h ago paid advance receipt given order either horrible customer service
"seller sent rotten vegetables, vegetables were rotten from outside as well. the seller responded after 2 days and matter took 2 weeks to resolved after involving daraz ",sellers said rotten vegetables vegetables rotten outside well seller responded 2 days matter took 2 weeks resolved involving daraz
Its very disappointed 2 Kg gobi mangwai thi chota sa adha kilo ka phool bej diya ha very bad very poor service and  very disheartening ,disappointed 2 kg gobi mangwai thi chota sa adha kilo ka phool bej diya bad poor service disheartening
everything was of good quality and properly packed when delivered. Thank You Dear Team ,everything good quality properly packed delivered thank dear team
"very good and fresh vagitable ,good experience with daraz ,satisfied home delivery.",good fresh vegetable good experience daraz satisfied home delivery
BEST QUALITY AND RIGHT ON TIME. MUST ENJOY. IM A REGULAR Buyer of this store.,best quality right time must enjoy regular buyer store
"Always finds good and fresh products, recommended dFresh 👍

Thank U DarazPk",always finds good fresh products recommended fresh thank darazpk
fresh vegetables but two days for deliver fresh items is too much,fresh vegetables two days delivery fresh items much
Excellent and fresh as always highly recommended dMart Lahore 😊,excellent fresh always highly recommended smart lahore
"dMart is superb, quality of products is excellent keep it up 👍",smart superb quality products excellent keep
Great experience. fresh veggies. love it . surely order again.,great experience fresh veggies love surely order
Zabrdas... Fresh... Fine rates also have delivered on time,cabbies fresh fine rates also delivered time
"Very Fesh will order again , Thanks Daraz. Thanks Dfresh",fresh order thanks daraz thanks fresh
item was fresh as described. highly recommended seller. ,item fresh described highly recommended seller
"As usual top quality n fresh thumbs up 👍 
satisfied ",usual top quality fresh thumbs satisfied
i ordered 2kg cauliflower but receive onli 1 kg!!!,I ordered 2 kg cauliflower received 1 kg
good sized and quickly delivered. thank you daraz,good sized quickly delivered thank daraz
Nice n fresh. Surprisingly cheaper than market. ,nice fresh surprisingly cheaper market
Very good quality cauliflower delivered again ,good quality cauliflower delivered
i was delivered cabbage instead of cauliflower,I delivered cabbage instead cauliflower
Quality is good and fresh item was delivered.,quality good fresh item delivered
fresh next day delivery.seller recommended,fresh next day delivery sellers recommended
Delivery boy was rude otherwise all good.,delivery boy rude otherwise good
fresh and clean highly recommend to all,fresh clean highly recommend
very good and fresh from dfresh ..... ,good fresh fresh
Cauliflower was fresh and well packed ,cauliflower fresh well packed
good and fresh product from dfresh ,good fresh produce fresh
