reviews,cleaned_reviews
"smaller in size and weight .....
baby ulat jaya hai monh k bull kindly mat lain ",smaller size weight baby ulat jaya month bull kindly may plain
small size as compared to others sold in the shops. and also it looks used/old,small size compared others sold shops also looks used old
same as shown in the picture.I like it and it is best for my girl.thank. u,shown picture I like best girl thank
"Good product with fast delivery 👍, suitable for at least 5 month old baby",good product fast delivery suitable least 5 month old baby
Awesome product same as shown in picture... But very samll in size.... ,awesome product shown picture small size
you must have to increase the width of this sofa so baby sit easily,must increase width sofa baby sit easily
it was very very small for my 5 month baby ..so order accordingly,small 5 month baby order accordingly
"very good thx daraz 
buht achi seat nikli hai same shown in pic",good daraz achi seat nikli shown pic
Beautiful same as shown in pic. Good quality fully satisfied ,beautiful shown pic good quality fully satisfied
amazing product this seat is so comfortable really good ,amazing product seat comfortable really good
super jaisa pic may ha waisa he mila same colour thanks,super jazz pic may waist mill colour thanks
i m not satisfied coz the seat is tore in back side,I satisfied seat torn back side
Very good quality.... fully satisfied with seller,good quality fully satisfied sellers
Very good quality.... fully satisfied with seller,good quality fully satisfied sellers
"nice thing to use.it support baby's back bone.
",nice thing use support baby back bone
easy to carry nd baby feels comfortable in it.,easy carry baby feels comfortable
Awesome product recommended same as picture,awesome product recommended picture
very good quality and same as mentioned....,good quality mentioned
delivery time zyada hai..baki all good👌,delivery time stadia baki good
it is vey comfortable .very good thing,comfortable good thing
Bohat achi item but packed very badly,bought item packed badly
Good quality same picture jesa hi hai,good quality picture jazz
bht ache h I m happy thanx daraz😚😚,ache happy daraz
very nice as shown i like it thanks,nice shown I like thanks
its very beautiful and comfortable.,beautiful comfortable
really good product...100%satisfied,really good product 100 satisfied
I got my parcel very nice tx daraz,I got parcel nice daraz
Good quality recommended to others,good quality recommended others
beautiful but size is not perfect,beautiful size perfect
bht achi quality ha thanks daraz,achieving quality thanks daraz
very good experience of shopping,good experience shopping
"good as shown in picture
like it",good shown pictures like
"Excellent and reliable seller 
",excellent reliable seller
great same as shown in picture.,great shown pictures
Highly recommend. good quality ,highly recommend good quality
very soft cute thing for babies,soft cute thing babies
useless...jst waste of money..,useless waste money
"Excellent quality i like it 
",excellent quality like
Too small and uncomfortable ,small uncomfortable
same as shown picture nyc..,shown picture nyc
"Acha tha, value for money. ",makes value money
quality is good.satisfied,quality good satisfied
Very good and comfortable,good comfortable
my kid really likes it,kid really likes
exactly same love it ,exactly love
it was Great.. kamal ,great kamal
same as advertised,advertised
Nice.same as shown,nice shown
good so soft 👍,good soft
too much small,much small
same as shown in picture. nice product. highly recommend. packing was a bit poor. they rapped it in a cling foil,shown picture nice products highly recommend packing bit poor wrapped cling foil
Same as shown in picture totally loved it will shop again inshallah☺,shown pictures totally loved show inshallah
"shipping on time.i order red,black and white stripe baby floor seat but receive different .also very small in size.my 4month baby fit very difficult on it.",shipping time order red black white striped baby floor seats receive different also small size 4month baby fit difficult
"Good material,buhat zaberdast item hai.but send me wrong color 😑",good material zaberdast item send wrong color
achi cheez bani ha bachy ka lay,achi cheez bani ha bachy ka lay
Same as shown in the picture satisfied thank you daraz recommended saller,shown picture satisfied thank daraz recommended seller
beautiful and comfortable,beautiful comfortable
quality is superb with reasonable price satisfied,quality superb reasonable price satisfied
Product is good 👍 for 8 Month old kid,product good 8 month old kid
Material is good but not good for baby of any age because baby will get too much tired. Seat posture should be relaxing.,material good good babies age baby get much tired seat posture relaxing
i ordered red and black with white strip and they send me red and brown totally unfair.. not recommended,I ordered red black white strip send red brown totally unfair recommended
product is not as shown in picture. i received pink and brown color but i had ordered black and red. packing b theek nai thi jis ki waja sy item deshape ho gai hy.. ,product shown pictures received pink brown color ordered black red packing three nai thi jis ski waja item described gai
"GOOD QUALITY SAME AS SHOWN IN PICTURE
VERY COMFORTABLE ONTIME DELIVERY 
THANKS SELLER & DARAZ",good quality shown picture comfortable noontime delivery thanks seller daraz
Too small in size for 4 months baby boy n uncomfortable ... Size should be mentioned,small size 4 months baby boy uncomfortable size mentioned
"Pathetic Service
I order 2 pieces and they delever only 1 piece and charge for 2",pathetic service order 2 pieces deliver 1 piece charge 2
fantastic really nice stuff and my baby enjoy a lot thank you,fantastic really nice stuff baby enjoy lot thank
"nice product, exactly same as shown n delivered on time",nice products exactly shown delivered time
Both seats are of good quality worth buying. ,seats good quality worth buying
"same as recommend, gud quality & stuff,.. ",recommend good quality stuff
Good quality product our kid loves it.,good quality product kid loves
Same as picture... Recommended,picture recommended
Train quality is perfect in this price bracket.. 👌👌,train quality perfect price bracket
Perfect. Thank you ,perfect thank
"Please contact me as I can not contact to u the chat option doesn't work, I want these teet in 4, bt you send 1.. I want that again please contact me",please contact contact option work want teeth 4 send 1 want please contact
didn't get the original teat. even the number of teat is 1 whereas i requested for 3. seller said it was original but it came without any pack in a random shopping bag. ,get original even number 1 whereas requested 3 sellers said original came without pack random shopping bag
Original product and cheap then the market rate but I ask for size 3 and they send me size 1,original product cheap market rate ask size 3 send size 1
"Very nice satisfy


",nice satisfy
product was wrong,product wrong
"when received they were bully and bulky but with time they are fine now, and as they are life time warranty then no need to worry. good choice in this price
thanks",received bulky bulky time fine life time warranty need worry good choices price thanks
"Very good quality. I bought Gao pillows from him earlier and found quality very good. Then again ordered these pillows. Masha’ALLAH very nice quality. However, size could be increased for some inches. The pillows is small size while Gao pillow was good large size. ",good quality bought gap pillows earlier found quality good ordered pillows made nice quality however size could increased inches pillows small size gao pillow good large size
the quality of pillow is good let's see after usage we can actually committ۔still it's quality is satisfactory,quality pillow good let us see usage quality satisfactory
awsom quality pillows same as shown on add recommended thanks seller thanks daraz,wisdom quality pillows shown recommended thanks seller thanks data
Nice n soft delivered on time. So far so good. Thank you ,nice soft delivered time far good thank
good quality satisfied 😊 delivered little late,good quality satisfied delivered little late
Thanks perfect pillows and very nice to sleep,thanks perfect pillows nice sleep
satisfied with the quality delivered on time,satisfied quality delivered time
Pillows were good in the price bracket👍,pillows good price bracket
received same very good,received good
Good quality and soft,good quality soft
soft and good stuff,soft good stuff
Packing is good quality is good.,packing good quality good
"Good in this price, well packed",good price well packed
same to same buy expensive h 240 ki 5 with delivery🤬🤬,came save expensive 240 ski 5 delivery
Exactly like shown😍 and they sent me 5 ❤️,exactly like shown sent 5
good quality in this price...recommended ,good quality price recommended
size i small but quality is excellent,size small quality excellent
very good quality.,good quality
Working good and product is amazing,working good product amazing
"same as shown in picture , quality good. fast shipping . recommended seller . packing was good.",shown picture quality good fast shipping recommended seller packing good
product is very nice Quality is also good Safely arrived at my home town  hightly recommend love with this product Thanks daraz and seller God bless uh highly recommended 🥰🥰,product nice quality also good safely arrived home town highly recommend love product thanks daraz seller god bless highly recommended
"awesome product same as shown very comfortable very easy to use, highly highly recommended...... thanksssssss",awesome product shown comfortable easy use highly highly recommended spreadsheets
awesome product best results wereobtained. how ever it looked like package was opened before sending it,awesome product best results wereobtained ever looked like package opened sending
product is s described. bottle and nipple along with it is just like any other quality product. highly recommended. ,product described bottle nipple along like quality product highly recommended
"What a great product ..... Good result
I recommend to every mother buy this and use this and make your job easy like me.

Also thank you seller for selling this product at very affordable price",great product good result recommend every mother buy use make job easy like also thank seller selling product affordable price
owsome produced easy to use good quality in this price tag thank you seller and also daraz ,awesome produced easy use good quality price tag thank sellers also data
product quality is awesome 👍 fast delivery i recommended this seller,product quality awesome fast delivery recommended seller
"Wonderful experience with daraz and seller too
Recieved just as shown",wonderful experience daraz sellers receive shown
"100% same received . Working Good
Made my Job Easier
Recommended.....",100 save received working good made job easier recommended
"This is best pump I have ever used and  have tried 3 different kinds. 
Its a life saver, portable, very easy to use, very gentle, you control the pressure, very fast: got 1.5 ounces in 10 mins. The leaflet mentions a dust cover but its not provided, so after use, I wash it and  just keep it in the box for now. Dust cover would have made it worth 10 star ",best pump ever used tried 3 different kinds life saver portable easy use gentle control pressure fast got 1 5 ounces 10 mins leaflet mentions dust cover provided use wash keep box dust cover would made worth 10 stars
"The same product is available at higher rates in market.. received the parcel before time. loved the reasonable rates of the product,  loved the packing and quality,  loved its working and highly recommended to all mothers.. ",product available higher rates market received parcel time loved reasonable rates product loved packing quality loved working highly recommended mothers
This is just awesome. Every newbie mom must need this product. Delivery was very fast. 👌💯 Highly recommended.,awesome every newbie mom must need product delivery fast highly recommended
poor suction power because of defected part as you can see in this picture ...i have wasted my money ,poor suction power defected parts see picture I wasted money
"it's worth buying. works well, generates enough action to accumulate 30 ml of milk in 20-25 minutes.overall satisfied. delivery time was more than expected otherwise received as shown and intact.",worth buying works well generates enough action accumulate 30 tons milk 20 25 minutes overall satisfied delivery time expected otherwise received shown intact
Looks like a really great product. Quality is good as well. Thanks,looks like really great product quality good well thanks
"Good Quality and good price 
Thank You Seller 
Recommended seller and recommended product 
👍🏻👍🏻",good quality good price thank seller recommended seller recommended product
"original product, price worth, suction power is also good. Must Have Product
best to use when hav good supply coming. it takes approx 10 to 15minutes to fill bottle for 30 to 40ml when supply is full. Pakistan  me useful islye bhi hy q k light ka issue rehta hy to her wqt electric ump useable nhi reh pata, plus electric k lye ek corner chahye hota hy jahan switch board ho to kaafi problems hoti hyn. Manuao me thora time zada lgta hy but ye manual kaafi acha hy. 10/10 ❤
in this picture it took approx 20 minutes to fill 70ml (when supply was full)
BONUS POINT, it comes with cap and nipple bottle which is so soothing n comfortable for babies.
just cant believe it has such a great power with no pain. YEAH ITS PAINLESS ❤❤❤❤❤❤❤",original product price worth suction power also good must product best use good supply coming takes approx 10 15minutes full bottles 30 40ml supply full pakistan useful aisle bhi hy q k light ka issue rehta hy wqt electric ump useable nhi red pata plus electric k lye ek corner chahye hota hy jahan switch board kaafi problems hoti hyn manuao thora time zada lgta manual kaafi acha hy 10 10 picture took approx 20 minutes full 70ml supply full bonus point comes cap nipple bottle soothing comfortable babies believe great power pain yeah pain
product quality achi thi. lakin is nay kam sai sy nai kiya. ,product quality lake nay come sad nai kiya
Its a good product and working also properly but quality of plastic feeder should be better.,good product working also properly quality plastic feeder better
Exactly as advertised. Delivery was quick. Thumbs up !,exactly advertised delivery quick thumbs
"Received Same as described 
5 stars for product and seller 
Thank you very much",received described 5 stars product seller thank much
"great service, quick delivery. not to mention the product is absolutely amazing and convenient. thank you.",great service quick delivery mention product absolutely amazing convenient thank
"nice product and very effective 
fine quality
",nice product effective fine quality
"Fully satisfied by the working of this pump.
",fully satisfied working pump
does not contain 1 2 and part 4 so it is just for sucction and not for massage,contain 1 2 part 4 suspicion massage
Very nice product. Very Happy to bought it.,nice product happy buy
"Amazing functional product considering the price. Received as shown. Satisfied 10/10. 
A little note for other mothers wanting to use this device, start lightly and increase the speed of pump gradually, gives best result. may your baby feel full and satisfied Ameen ",amazing functional product considering price received shown satisfied 10 10 little note mothers wanting use device start lightly increase speed pump gradually gives best results may baby feel full satisfied ameen
Such a useful thing in a low budget ☺️,useful thing low budget
amazing product in low price 😊😊😊😊,amazing product low price
recieved my parcel. exactly the same as shown in picture. good quality,received parcel exactly shown picture good quality
"Wow.....
It's working good and have amazing price 
Thank you seller for giving me good product and good service Recomemded product and seller
👍🏻👍🏻👍🏻🍼🤱",working good amazing price thank seller giving good product good service recommended product seller
Gd product very helpful for new mothers highly recomended,go products helpful new mothers highly recommended
usefull product,useful product
"Very nice product
Recommended for all mothers ",nice product recommended mothers
Good but price is a little hogh,good price little high
ALHUMDUILLAH satisfied ,alhumduillah satisfied
Same as shown,shown
It has no manual or instructions paper. Quality is little bit low. Working well. Delivered on time. ,manual instructions paper quality little working well delivered time
Outclass good product. ,outclass good product
Nice product in this price range. Especially impressed by the cooperation and communication of the sellers and would like to purchase from the same seller in future. Thumbs-up ,nice products price range especially impressed cooperation communication sellers would like purchase seller future thumbs
"disappointed.. they just send me a single plastic feeder bottle without any pump, that is useless for me. box inside the package was opened. delivered in time.",disappointed send single plastic feeder bottle without pump useless box inside package opened delivered time
totally wastage of money.. there is no pressure build thing in it + low quality of feeder plastic not recommended at all,totally wastage money pressure build thing low quality feeder plastic recommended
"its amazing . working very well .market mein ye hi manual pump 4000 ka mil rha hy.i recommend every mother .it is not 
costly",amazing working well market mein manual pump 4000 k mil recommend every mother costly
this pump is truly a blessing for all the new momies who finds difficulty in feeding....it's completely painless and easy to use.. thankyou seller for sending the best thing..,pump truly blessing new moms finds difficulty feeding completely painless easy use thankyou sellers sending best thing
Useless Hy .Bottle mai aik Cheez km Hain  only feeder K tawr P use ho Sakta Hy. pump K tawr P nhi use ho sakta,useless hundred bottle may aik cheese km chain feeder k tawr use sakta dump k tawr nhi use sakta
is price main bht achi product ha or 100% real ha jo olx pr ha wohi delivered kia ha ..but 1 question ha agar is ka diaphragm damage ho jaye to new mil jaye ga?...,price main achi product 100 real ha old ha wohi delivered kia ha 1 question agar Ka diaphragm damage date new mil hate go
As shown in the picture.. Up to the mark.. Good experience so far  from the day of unboxing. Easy in use. ,shown picture mark good experience far days unboxing easy use
Exellent exellent exellent.. Jizakallah such a useable n comfortable. And great quality in. This price. ✨✨✨✨💯,excellent excellent excellent jizakallah useable comfortable great quality price
it really works.... thank you so much for the best product ☺️.... I recommend t every mom who's facing feeding issues,really works thank much best product I recommend every mom facing feeding issues
"good quality product in such price.👌
useful but as it is manual so it demands time.
i would suggest to mommies who are reading review for guidance, if you need to have a pump to save time then must buy electric pump. manual needs time and hath bhi thak jata.",good quality products price useful manual demands time would suggest commies reading review guidance need pump save time must buy electric pump manual needs time bhi tank data
its good but a little not too sturdy.. it has good suction and it's very reasonably priced but it might break if handled irresponsibly.,good little sturdy good suction reasonably priced might break handled irresponsibly
" this model does not contain 2,3 parts(breast cushion and dust cover) 
overall very easy to use
good quality in a reasonable price",model contain 2 3 parts breast cushion dust cover overall easy use good quality reasonable price
"Received the shown product with good condition and quality, reached to my home before the said time. Best service.",received shown product good condition quality reached home said time best service
yar bohat he achi cheez ha ameed nai thi but yah bohat achi nikli first time many online daraz sy order kiya but very good ha daraz thank u daraz pk thank u so much,ya bohat achi cheez ha ameed na yells bohat achi nikli first time many online daraz say order kiya good daraz thank u daraz thank much
bht acha experience raha or upload photo ka option he.nahi chal raha mery pass pata nahi Q lekin mjhy bht theek laga ,acha experience raha upload photo ka option nahi chal raha mery pass pata nahi q lekin mjhy laga
"worth buying,good product as same as shown in picture,
on time delivery nd seller is very cooperative.",worth buying good product shown picture time delivery seller cooperative
Good seller but very bad product! I wont recommend this pump to anyone...its very painful and the pumping is too slow... i have used Farlin manual pump which is perfect...but this one is really low quality ,good seller bad product must recommend pump anyone painful pumping slow used farlin manual pump perfect one really low quality
"Same as shown , low quality , mere use mein hi nhi ayi rubber loose hojata hai suctiin hi nhi banta😔😞waste of money",shown low quality mere use mein nhi ayi rubber loose hojata section nhi banta waste money
"the product is great and really helped us. but over time the suction is no more the same and its loosening. 
is this due to the Duckbill valve? its very hard and takes so much time with little result. ",product great really helped us time suction loosening due duckbill valve hard takes much time little result
"Its painless... and very helpful 
I recommend to buy every new mom. 
Must follow the instruction and sitting position. While using this. 
It gives wonderful result when u are full. 
In this pack cap of pump was not available 
",painless helpful recommend buy every new mom must follow instruction setting position using gives wonderful results full pack cap pump available
The pump is reasonable but very exhausting to use. The included bottle however is very high quality. Overall is fine is you want to pump milk for collection.,pump reasonable exhausting use included bottle however high quality overall fine want pump milk collection
"Thanks God I had this. I advise any pumping moms to buy one, just in case you need to pump on the go.",thanks god advise pumping moms buy one case need pump go
I am glad to see this thank you very much same as shown in this picture and quality also very good ,I glad see thank much shown picture quality also good
"Good quality, same as shown in picture, dilevery on time, overall good experience, Thank you,.. ",good quality shown picture delivery time overall good experience thank
I'm Not satisfied with product quality is very poor I'm not recommended just waste of money. ,I satisfied product quality poor recommended waste money
the product was completely useful. and the price was also very reasonable.. highly recommend,product completely useful price also reasonably highly recommended
Its really a best product and it works better for baby feeding any one buy and use it ,really best product works better baby feeding one buy use
Good quality with very reasonable Price. Same as shown in Picture. Fully satisfied.,good quality reasonable price shown picture fully satisfied
"good product. shuru ma sahe kaam kiya but ek week ma e kharab hogya .
money wasted",good product shura may share kaam kiya ek week may kharab hogya money wasted
product is good by material and quality. ...happy with the product in this price ,product good material quality happy product price
excellent I recommend to all mothers its too easy to use am satisfied thanx daraz,excellent recommend mothers easy use satisfied daraz
The product is amazing! Its really convenient to use and gives amazing results ,product amazing really convenient use gives amazing results
"Alhumdulilah got my parcel and seriously its amazing💕
5 ⭐⭐⭐⭐⭐ for seller",alhumdulilah got parcel seriously amazing 5 seller
Delivered on time. Nice product. 100% matched with the listed product.,delivered time nice product 100 matched listed product
This pump works great!  Loved it. Timely delivery and great product.  ,pump works great loved timely delivery great product
received on time. same as shown in picture. Happy to shop from Daraz.,received time shown pictures happy shop daraz
it's not working...just wste of the money. tell me how to return it,working money tell return
Super satisfied!!!Amazing quality in such reasonable price😃Glad,super satisfied amazing quality reasonable price glad
recommended useful for new mothers ... product quality is good,recommended useful new mothers product quality good
same as shown in picture 👌👌👍 very useful...easy to use . ,shown pictures useful easy use
Good quality product. Very handy and reliable. Recommended ,good quality product handy reliable recommended
highly recommend amazing products thnks for fast delivery ,highly recommend amazing products thanks fast delivery
Not beneficial in my case however build quality is good. ,beneficial case however build quality good
Product is same as described. Thank you daraz and seller.,product described thank data seller
Product have good build quality. Pleased with purchase,products good build quality pleased purchase
delivered on time as well as the same shown in picture,delivered time well shown pictures
Amazing product same as shown.. Works perfectly..  ,amazing product shown works perfectly
Delivered on time good quality as shown in picture.,delivered time good quality shown picture
Safe and perfect .. recieved in just 2 days 5 stars,safe perfect received 2 days 5 starts
"Good quality, amazing product... Highly recommended",good quality amazing products highly recommended
Not working. Pressure issue. Totally wasted item. ,working pressure issue totally wasted item
"Good Quality..
Fast Delivery..
I highly Recommend ",good quality fast delivery highly recommend
Its really good i appreciate your help for mother,really good I appreciate help mother
good product nicely packed reached on time thanku,good produce nicely packed reached time thanks
best satisfactory 110% i really appreciate seller,best satisfactory 110 really appreciate sellers
"It's good, beyond my expectation... Satisfied 👍",good beyond expectation satisfied
Wife and baby both are satisfied! good product. ,wife baby satisfied good product
it's good in shape and quality but not working.,good shape quality working
Amazing product ever found on daraz👍🏻👍🏻👍🏻,amazing product ever found daraz
Good Product. Delivered on time. Good Packing.,good produce delivered time food packing
Great product. Good quality. A must have item ,great product good quality must item
"Good one 
useful too
best in this price range",good one useful best price range
best pump .. reasonable portable and helpful ,best pump reasonably portable helpful
Im satisfied with the product and the service,i m satisfied product service
a product that never delivers at my doorstep,product never delivers doorstep
"very good quality , ordered it for my friend",good quality ordered friend
same as shown good quality reasonable price ,shown good quality reasonable price
I like it too much becoz it helps me more👌,I like much helps
"Supppperrrr 
Very effective 
I like it... ",supporters effective I like
"ordered it 2 months ago
still good
useful",ordered 2 months ago still good useful
this product is good... satisfied 5 stars,product good satisfied 5 stars
"zabrdast great working 
highly recommend ",zabrdast great working highly recommended
very satisfied... works perfectly well...,satisfied works perfectly well
"Great product, and excellent delivery.",great product excellent delivery
Worth buying it... Excellent product ,worth buying excellent product
very nice product in resinable price ,nice product reasonable price
same as shown in picture i like it...,shown pictures I like
Amazing product  highly recommended ,amazing product highly recommended
perfect product. highly recommended,perfect product highly recommended
The product and quality is good.  ,product quality good
As in pictures and it works great.,pictures works great
very useful quality also roo good,useful quality also good
quick shipping o quality product ,quick shipping quality products
not good item fazul ka time waist,good item fazul ka time waste
It's a best product. Easy to use,best product easy use
really good product like reviews,really good products like reviews
Product delivered as mentioned.,product delivered mentioned
Thank you it's amazing product,thank amazing product
Perfect product good quality ,perfect product good quality
Product is same as shown👍🏻,product shown
very useful.. recommended.. ,useful recommended
packing is dirty and ruff..,packing dirty rough
"Found helpful as described
",found helpful described
The product is very usefull,product useful
good product and best price,good product best price
bekaaarr .. do not buy plz,lawmakers buy please
Good product nice quality ,good product nice quality
good product and quality ,good product quality
same product good quilty,products good quality
nice quality..keep it up,nice quality keep
it was so osam like it ,soon like
Useful product.thanks ,useful product thanks
quality product thanks,quality product thanks
very useful recommend ,useful recommend
Good quality product. ,good quality product
good quality .. thanks,good quality thanks
Good quality product ,good quality product
verry good exclent ,good excellent
thnxx its amazing ,amazing
best product thnx ,best product thanks
product is good 👌,product good
yes it was good. ,yes good
Worth buying 👍,worth buying
awsome product,awesome product
great product.,great product
very useful ,useful
Very useful ,useful
Quality is fine. but it takes to much effort  for work.,quality fine takes much effort work
Loved the seat. Sturdy and comfortable. Thankyou for the gift. ,loved seat sturdy comfortable thankyou gift
"quality = superior
delivery = timely
 i used it in opposite direction for the ease of use. since it is easier for the child to sit that way and place his feat on the combode. plus i give him markers and he draws on the cover.
",quality superior delivery timely use opposite direction ease use since easier child sit way place feet combode plus give markers draws cover
"The packaging, the Quality of the product is superb Masha'Allah. Most importantly supplier is an honest man May Allah SWT grant more barakah in his rizq . 
it's BPA free plastic which you want to use for the kids. haven't used it yet but I hope it will be worth buying. ",packaging quality product superb mass allah importantly supplier honest man may allow grant barakah via free plastic want use kids used yet hope worth buying
"Received my order. It is same as in the picture .
quality bhi bohat achi hai is price mai. Thanks daraz and seller.",received order picture quality bhi bohat achi price mail thanks daraz seller
"bht comfortable aur soft seat hai, market ki nisbat affordable price mein hai aur bht achi quality hai seat ki,
Thank you daraz for this",comfortable soft seat hair marked ski nisbat affordable price mean air achi quality high seat di thank daraz
Picture speaks the quality of the product,picture speaks quality product
"Received my order today. Product quality is as better as I was hoping. Thanks for being a genuine seller. 
Also special thanks for beautiful keychains.👍",received order today product quality better I hoping thanks genuine seller also special thanks beautiful keychains
thankyou so much for sending original product.same as i ordered.highly recomended for all.,thankyou much sending original products ordered highly recommended
Good Quality and well packed.. Recommend,good quality well packed recommend
"nicely wrapped package delivered with free gift of training plate for babies. highly recommended this for other customers babies , my son loved it ,not afraid anymore to sit on toilet seat , very comfortable with soft cushion. Thanks for free gift",nicely wrapped packages delivered free gift training plate babies highly recommended customers babies son loved afraid anymore sit toilet seats comfortable soft cushion thanks free gift
"Best experience  so far
i was hesitating  to buy from store as prixe is very less as compared to market so i was curious about  quality, i ordered and received  parcel as i was amazed with the qualiy and especially paking of the product.product quality  is uo to the mark and price is very economical as compared to market
highly recommend 
i encourage  you guys to bring  some more products also we may also check them

keep up good work

stay blessed ",best experience far hesitating buy store price less compared market curious quality ordered received parcel amazed quality especially taking product product quality mark price economical compared market highly recommend encourage guys bring products also may also check keep good work stay blessed
"Thanks for the fast delivery,  seat looks good, fits to the regular toilet seat very well. Thanks Seller for the keychain gift.loved the product.",thanks fast delivery seat looks good fits regular toilet seat well thanks sellers keychain gift loved product
"its good , same as shown in picture, comfortable",good save shown picture comfortable
"Great quality product, 100% original and true to the pictures shown. Great service as well - I got a complimentary Avent sippy cup which is highly appreciated. ",great quality product 100 original true pictures shown great service well got complimentary event sippy cup highly appreciated
The product is excellent. Build quality is by far one of the best. Highly recommend Sasta Bazar and this product.,product excellent build quality far one best highly recommended pasta bazar product
"I m happy to purchase the above product it's extremely good and comfortable for baby, behtreen bohat zabardast.",I happy purchase product extremely good comfortable baby bohat zabardast
Very Amazing Quality As described. Very good to use soft and worth full. Thanks for this amazing product,amazing quality described good use soft worth full thanks amazing product
It's an amazing product for my baby . quality is best . I will be waiting for more products of this seller because it really satisfied me with quality point of view.inshaAllah I will buy more products from this seller in future.,amazing product baby quality best I waiting products seller really satisfied quality point view inshaallah buy products seller future
thannnnkkkkkyouuuuu  so much satified with my order . best quality and original product ,thannnnkkkkkyouuuuu much satisfied order best quality original product
This is best seat on daraz. I tried the others and had to return them for being too small and uncomfortable. ,best seat daraz I tried others return small uncomfortable
"Very nice, very comfortable especially for 4 to 5 years old. Delivered timely and product quality is outstanding. I am satisfied with this product.",nice comfortable especially 4 5 years old delivered timely product quality outstanding I satisfied product
A good quality producr as shown in picture daraz. I  m much satisfied with quality and delivery time ,good quality product shown picture data I much satisfied quality delivery time
This turned out to be perfect for my son. The seat is soft and steady. Excellent customer service as well.,turned perfect son seat soft steady excellent customer service well
The baby trainer seat is awsome and friendly to use for kids. For Sure will do business with Sasat Bazar in future.,baby trainer seat awesome friendly use kids sure business salt bazar future
"zbrdst, branded hai, original hai, umeed nhe thi but good.
online walay bht badnaam hain aur mainay bht dartsy dartay order dya tha but im happy i got what i was looking for.
recommended seller ",zbrdst branded original time butt good online play badnaam chain mainly dartsy party order dya tha happy got looking recommended seller
Potty seat is amazing. I really liked it..i am so glad. Thank you so much for the keyrings too. ,potty seat amazing really liked glad thank much greetings
Thanks seller. Excellent quality. I will recommend everyone best quality at cheapest price.,thanks seller excellent quality recommend everyone best quality cheapest price
Excellent quality. Highly recommended if you are considering quality and convenience. ,excellent quality highly recommended considering quality convenience
Good product. Haven't used it yet but seems nice especially the pad on inner surface. ,good products used yet seems nice especially pad inner surface
very nice I m setisfied to get this and thank you so much very honest seller ......,nice satisfied get thank much honest seller
We previously bought two seats from different sellers. This is by far the best one,previously bought two seats different sellers far best one
good product with good build quality didnt use it for my kid yet but seems good,good product good build quality did nt use kid yet seems good
 very nice quality product,nice quality product
it is awesome really appreciate fr high quality my child's like it most 👌👌👌,awesome really appreciated high quality child like
"Thank you Daraz for the wonderful thing for my son 
Quality was excellent 
",thank daraz wonderful thing sun quality excellent
"It was an outclass product with the Best plastic.
The money was worth it.",outclass product best plastic money worth
very good quality material in a reasonable price.Delivered very quickly.,good quality material reasonable price delivered quickly
Awesome product not a scam which product show on store i get the same ,awesome product scam products show store get
"excellent. doesn't move on the comode. also, it's easily removable. ",excellent move code also easily removable
The product is fine...As shown in picture..overall good experience ,product fine shown picture overall good experience
